Category: All categories

Week,Final Fantasy XVI: (Worldwide)
2023-01-01,2
2023-01-08,2
2023-01-15,2
2023-01-22,1
2023-01-29,1
2023-02-05,1
2023-02-12,1
2023-02-19,2
2023-02-26,6
2023-03-05,3
2023-03-12,2
2023-03-19,2
2023-03-26,4
2023-04-02,2
2023-04-09,6
2023-04-16,4
2023-04-23,4
2023-04-30,5
2023-05-07,4
2023-05-14,4
2023-05-21,9
2023-05-28,8
2023-06-04,10
2023-06-11,45
2023-06-18,100
2023-06-25,97
2023-07-02,68
2023-07-09,49
2023-07-16,36
2023-07-23,26
2023-07-30,21
2023-08-06,19
2023-08-13,17
2023-08-20,13
2023-08-27,13
2023-09-03,14
2023-09-10,10
2023-09-17,10
2023-09-24,8
2023-10-01,7
2023-10-08,7
2023-10-15,6
2023-10-22,6
2023-10-29,6
2023-11-05,6
2023-11-12,7
2023-11-19,8
2023-11-26,7
2023-12-03,12
2023-12-10,10
2023-12-17,9
2023-12-24,11
2023-12-31,10
2024-01-07,8
