Category: All categories

Week,Final Fantasy XVI: (Worldwide)
2023-01-01,3
2023-01-08,3
2023-01-15,2
2023-01-22,2
2023-01-29,2
2023-02-05,2
2023-02-12,2
2023-02-19,2
2023-02-26,12
2023-03-05,6
2023-03-12,3
2023-03-19,4
2023-03-26,11
2023-04-02,4
2023-04-09,15
2023-04-16,10
2023-04-23,6
2023-04-30,6
2023-05-07,5
2023-05-14,5
2023-05-21,14
2023-05-28,10
2023-06-04,12
2023-06-11,58
2023-06-18,100
2023-06-25,95
2023-07-02,61
2023-07-09,44
2023-07-16,34
2023-07-23,27
2023-07-30,22
2023-08-06,18
2023-08-13,16
2023-08-20,14
2023-08-27,13
2023-09-03,13
2023-09-10,11
2023-09-17,10
2023-09-24,9
2023-10-01,8
2023-10-08,8
2023-10-15,7
2023-10-22,7
2023-10-29,6
2023-11-05,7
2023-11-12,8
2023-11-19,8
2023-11-26,7
2023-12-03,13
2023-12-10,12
2023-12-17,9
2023-12-24,10
2023-12-31,10
2024-01-07,8
