Category: All categories

Week,Fire Emblem Engage: (Worldwide)
2023-01-01,10
2023-01-08,13
2023-01-15,64
2023-01-22,100
2023-01-29,65
2023-02-05,52
2023-02-12,41
2023-02-19,31
2023-02-26,22
2023-03-05,22
2023-03-12,15
2023-03-19,15
2023-03-26,13
2023-04-02,19
2023-04-09,14
2023-04-16,11
2023-04-23,8
2023-04-30,8
2023-05-07,6
2023-05-14,6
2023-05-21,5
2023-05-28,5
2023-06-04,5
2023-06-11,5
2023-06-18,5
2023-06-25,5
2023-07-02,5
2023-07-09,4
2023-07-16,5
2023-07-23,5
2023-07-30,5
2023-08-06,4
2023-08-13,4
2023-08-20,4
2023-08-27,4
2023-09-03,4
2023-09-10,4
2023-09-17,3
2023-09-24,3
2023-10-01,3
2023-10-08,3
2023-10-15,3
2023-10-22,3
2023-10-29,3
2023-11-05,3
2023-11-12,4
2023-11-19,4
2023-11-26,4
2023-12-03,4
2023-12-10,4
2023-12-17,3
2023-12-24,5
2023-12-31,4
2024-01-07,4
2024-01-14,4
2024-01-21,4
2024-01-28,4
2024-02-04,3
2024-02-11,3
2024-02-18,3
2024-02-25,3
2024-03-03,3
2024-03-10,3
2024-03-17,3
2024-03-24,3
2024-03-31,3
2024-04-07,3
2024-04-14,3
2024-04-21,2
2024-04-28,3
2024-05-05,3
2024-05-12,3
2024-05-19,3
2024-05-26,3
2024-06-02,3
2024-06-09,3
2024-06-16,3
2024-06-23,2
2024-06-30,3
