Category: All categories

Week,Fire Emblem Engage: (Worldwide)
2023-01-01,21
2023-01-08,26
2023-01-15,84
2023-01-22,100
2023-01-29,68
2023-02-05,61
2023-02-12,42
2023-02-19,30
2023-02-26,27
2023-03-05,31
2023-03-12,26
2023-03-19,25
2023-03-26,23
2023-04-02,36
2023-04-09,25
2023-04-16,19
2023-04-23,13
2023-04-30,12
2023-05-07,10
2023-05-14,9
2023-05-21,8
2023-05-28,8
2023-06-04,7
2023-06-11,7
2023-06-18,7
2023-06-25,7
2023-07-02,7
2023-07-09,7
2023-07-16,7
2023-07-23,6
2023-07-30,7
2023-08-06,6
2023-08-13,6
2023-08-20,6
2023-08-27,6
2023-09-03,6
2023-09-10,5
2023-09-17,5
2023-09-24,5
2023-10-01,6
2023-10-08,6
2023-10-15,5
2023-10-22,5
2023-10-29,5
2023-11-05,5
2023-11-12,5
2023-11-19,6
2023-11-26,6
2023-12-03,5
2023-12-10,5
2023-12-17,5
2023-12-24,5
2023-12-31,6
2024-01-07,6
2024-01-14,6
2024-01-21,5
2024-01-28,6
2024-02-04,5
2024-02-11,5
2024-02-18,6
2024-02-25,5
2024-03-03,5
2024-03-10,4
2024-03-17,4
2024-03-24,4
2024-03-31,4
2024-04-07,4
2024-04-14,4
2024-04-21,4
2024-04-28,4
2024-05-05,4
2024-05-12,4
2024-05-19,4
2024-05-26,4
2024-06-02,4
2024-06-09,4
2024-06-16,4
2024-06-23,4
2024-06-30,4
