Category: All categories

Week,Forza: (Worldwide)
2023-01-01,63
2023-01-08,67
2023-01-15,68
2023-01-22,71
2023-01-29,63
2023-02-05,57
2023-02-12,53
2023-02-19,59
2023-02-26,54
2023-03-05,52
2023-03-12,55
2023-03-19,62
2023-03-26,70
2023-04-02,72
2023-04-09,67
2023-04-16,61
2023-04-23,65
2023-04-30,65
2023-05-07,59
2023-05-14,59
2023-05-21,67
2023-05-28,63
2023-06-04,61
2023-06-11,73
2023-06-18,69
2023-06-25,69
2023-07-02,77
2023-07-09,68
2023-07-16,64
2023-07-23,62
2023-07-30,63
2023-08-06,63
2023-08-13,65
2023-08-20,65
2023-08-27,62
2023-09-03,53
2023-09-10,64
2023-09-17,60
2023-09-24,61
2023-10-01,82
2023-10-08,100
2023-10-15,71
2023-10-22,64
2023-10-29,59
2023-11-05,54
2023-11-12,50
2023-11-19,58
2023-11-26,58
2023-12-03,53
2023-12-10,57
2023-12-17,62
2023-12-24,69
2023-12-31,63
2024-01-07,60
2024-01-14,57
2024-01-21,58
2024-01-28,60
2024-02-04,52
2024-02-11,50
2024-02-18,51
2024-02-25,47
2024-03-03,48
2024-03-10,52
2024-03-17,51
2024-03-24,51
2024-03-31,50
2024-04-07,45
2024-04-14,43
2024-04-21,50
2024-04-28,49
2024-05-05,48
2024-05-12,44
2024-05-19,43
2024-05-26,44
2024-06-02,43
2024-06-09,49
2024-06-16,51
2024-06-23,57
2024-06-30,56
