Category: All categories

Week,Forza: (Worldwide)
2023-01-01,58
2023-01-08,51
2023-01-15,51
2023-01-22,55
2023-01-29,50
2023-02-05,45
2023-02-12,45
2023-02-19,46
2023-02-26,40
2023-03-05,41
2023-03-12,45
2023-03-19,44
2023-03-26,56
2023-04-02,53
2023-04-09,47
2023-04-16,44
2023-04-23,46
2023-04-30,45
2023-05-07,43
2023-05-14,43
2023-05-21,45
2023-05-28,46
2023-06-04,46
2023-06-11,56
2023-06-18,53
2023-06-25,54
2023-07-02,53
2023-07-09,51
2023-07-16,50
2023-07-23,48
2023-07-30,47
2023-08-06,48
2023-08-13,51
2023-08-20,55
2023-08-27,51
2023-09-03,44
2023-09-10,49
2023-09-17,50
2023-09-24,49
2023-10-01,85
2023-10-08,100
2023-10-15,62
2023-10-22,56
2023-10-29,50
2023-11-05,47
2023-11-12,48
2023-11-19,54
2023-11-26,52
2023-12-03,51
2023-12-10,49
2023-12-17,59
2023-12-24,75
2023-12-31,63
2024-01-07,49
2024-01-14,47
2024-01-21,46
2024-01-28,50
2024-02-04,49
2024-02-11,45
2024-02-18,43
2024-02-25,43
2024-03-03,41
2024-03-10,44
2024-03-17,43
2024-03-24,46
2024-03-31,44
2024-04-07,42
2024-04-14,38
2024-04-21,42
2024-04-28,45
2024-05-05,41
2024-05-12,38
2024-05-19,38
2024-05-26,42
2024-06-02,39
2024-06-09,46
2024-06-16,46
2024-06-23,58
2024-06-30,59
