Category: All categories

Week,Forza: (Worldwide)
2023-01-01,43
2023-01-08,42
2023-01-15,21
2023-01-22,45
2023-01-29,49
2023-02-05,36
2023-02-12,42
2023-02-19,38
2023-02-26,46
2023-03-05,20
2023-03-12,27
2023-03-19,32
2023-03-26,29
2023-04-02,19
2023-04-09,26
2023-04-16,19
2023-04-23,32
2023-04-30,32
2023-05-07,30
2023-05-14,39
2023-05-21,34
2023-05-28,34
2023-06-04,30
2023-06-11,50
2023-06-18,44
2023-06-25,29
2023-07-02,31
2023-07-09,21
2023-07-16,44
2023-07-23,38
2023-07-30,35
2023-08-06,49
2023-08-13,51
2023-08-20,47
2023-08-27,39
2023-09-03,20
2023-09-10,47
2023-09-17,41
2023-09-24,32
2023-10-01,82
2023-10-08,100
2023-10-15,57
2023-10-22,38
2023-10-29,39
2023-11-05,28
2023-11-12,46
2023-11-19,41
2023-11-26,32
2023-12-03,28
2023-12-10,28
2023-12-17,26
2023-12-24,38
2023-12-31,35
2024-01-07,35
2024-01-14,34
2024-01-21,18
2024-01-28,39
2024-02-04,43
2024-02-11,29
2024-02-18,37
2024-02-25,32
2024-03-03,30
2024-03-10,29
2024-03-17,30
2024-03-24,32
2024-03-31,38
2024-04-07,26
2024-04-14,31
2024-04-21,29
2024-04-28,37
2024-05-05,19
2024-05-12,19
2024-05-19,33
2024-05-26,34
2024-06-02,47
2024-06-09,0
2024-06-16,35
2024-06-23,54
2024-06-30,43
