Category: All categories

Week,Hi-Fi Rush: (Worldwide)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,26
2023-01-29,98
2023-02-05,100
2023-02-12,58
2023-02-19,43
2023-02-26,34
2023-03-05,30
2023-03-12,26
2023-03-19,23
2023-03-26,20
2023-04-02,18
2023-04-09,16
2023-04-16,16
2023-04-23,14
2023-04-30,14
2023-05-07,11
2023-05-14,9
2023-05-21,9
2023-05-28,14
2023-06-04,15
2023-06-11,12
2023-06-18,12
2023-06-25,10
2023-07-02,13
2023-07-09,12
2023-07-16,9
2023-07-23,8
2023-07-30,9
2023-08-06,9
2023-08-13,9
2023-08-20,8
2023-08-27,9
2023-09-03,9
2023-09-10,7
2023-09-17,6
2023-09-24,6
2023-10-01,6
2023-10-08,5
2023-10-15,6
2023-10-22,6
2023-10-29,6
2023-11-05,7
2023-11-12,20
2023-11-19,12
2023-11-26,11
2023-12-03,25
2023-12-10,14
2023-12-17,12
2023-12-24,18
2023-12-31,19
2024-01-07,20
2024-01-14,11
2024-01-21,10
2024-01-28,15
2024-02-04,15
2024-02-11,16
2024-02-18,24
2024-02-25,12
2024-03-03,9
2024-03-10,9
2024-03-17,22
2024-03-24,12
2024-03-31,10
2024-04-07,10
2024-04-14,9
2024-04-21,9
2024-04-28,10
2024-05-05,73
2024-05-12,28
2024-05-19,18
2024-05-26,15
2024-06-02,13
2024-06-09,13
2024-06-16,10
2024-06-23,9
2024-06-30,11
