Category: All categories

Week,Hi-Fi Rush: (Worldwide)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,21
2023-01-29,75
2023-02-05,100
2023-02-12,73
2023-02-19,58
2023-02-26,41
2023-03-05,32
2023-03-12,28
2023-03-19,26
2023-03-26,23
2023-04-02,22
2023-04-09,20
2023-04-16,19
2023-04-23,15
2023-04-30,15
2023-05-07,12
2023-05-14,11
2023-05-21,10
2023-05-28,11
2023-06-04,12
2023-06-11,12
2023-06-18,11
2023-06-25,11
2023-07-02,13
2023-07-09,11
2023-07-16,9
2023-07-23,9
2023-07-30,9
2023-08-06,9
2023-08-13,8
2023-08-20,8
2023-08-27,7
2023-09-03,7
2023-09-10,7
2023-09-17,7
2023-09-24,6
2023-10-01,7
2023-10-08,6
2023-10-15,6
2023-10-22,6
2023-10-29,6
2023-11-05,6
2023-11-12,15
2023-11-19,10
2023-11-26,9
2023-12-03,13
2023-12-10,12
2023-12-17,9
2023-12-24,11
2023-12-31,12
2024-01-07,12
2024-01-14,9
2024-01-21,9
2024-01-28,11
2024-02-04,10
2024-02-11,10
2024-02-18,18
2024-02-25,12
2024-03-03,9
2024-03-10,7
2024-03-17,15
2024-03-24,10
2024-03-31,8
2024-04-07,8
2024-04-14,7
2024-04-21,9
2024-04-28,9
2024-05-05,27
2024-05-12,16
2024-05-19,13
2024-05-26,10
2024-06-02,10
2024-06-09,10
2024-06-16,7
2024-06-23,8
2024-06-30,8
