Category: All categories

Week,Hogwarts Legacy: (Worldwide)
2023-01-01,6
2023-01-08,12
2023-01-15,14
2023-01-22,18
2023-01-29,24
2023-02-05,100
2023-02-12,64
2023-02-19,40
2023-02-26,26
2023-03-05,21
2023-03-12,11
2023-03-19,10
2023-03-26,10
2023-04-02,9
2023-04-09,7
2023-04-16,6
2023-04-23,6
2023-04-30,12
2023-05-07,9
2023-05-14,6
2023-05-21,6
2023-05-28,6
2023-06-04,6
2023-06-11,3
2023-06-18,3
2023-06-25,4
2023-07-02,4
2023-07-09,4
2023-07-16,4
2023-07-23,3
2023-07-30,4
2023-08-06,3
2023-08-13,4
2023-08-20,2
2023-08-27,3
2023-09-03,4
2023-09-10,3
2023-09-17,2
2023-09-24,3
2023-10-01,3
2023-10-08,2
2023-10-15,3
2023-10-22,3
2023-10-29,3
2023-11-05,4
2023-11-12,8
2023-11-19,5
2023-11-26,2
2023-12-03,4
2023-12-10,3
2023-12-17,4
2023-12-24,9
2023-12-31,6
2024-01-07,5
2024-01-14,4
2024-01-21,5
2024-01-28,3
2024-02-04,4
2024-02-11,3
2024-02-18,5
2024-02-25,2
2024-03-03,3
2024-03-10,3
2024-03-17,1
2024-03-24,2
2024-03-31,3
2024-04-07,2
2024-04-14,2
2024-04-21,2
2024-04-28,2
2024-05-05,2
2024-05-12,2
2024-05-19,2
2024-05-26,3
2024-06-02,4
2024-06-09,3
2024-06-16,3
2024-06-23,2
2024-06-30,2
