Category: All categories

Week,Hogwarts Legacy: (Worldwide)
2023-01-01,4
2023-01-08,5
2023-01-15,6
2023-01-22,9
2023-01-29,15
2023-02-05,100
2023-02-12,78
2023-02-19,54
2023-02-26,34
2023-03-05,24
2023-03-12,17
2023-03-19,12
2023-03-26,11
2023-04-02,10
2023-04-09,8
2023-04-16,6
2023-04-23,5
2023-04-30,9
2023-05-07,10
2023-05-14,8
2023-05-21,7
2023-05-28,7
2023-06-04,5
2023-06-11,5
2023-06-18,4
2023-06-25,4
2023-07-02,5
2023-07-09,4
2023-07-16,4
2023-07-23,4
2023-07-30,4
2023-08-06,4
2023-08-13,4
2023-08-20,3
2023-08-27,4
2023-09-03,4
2023-09-10,3
2023-09-17,3
2023-09-24,3
2023-10-01,3
2023-10-08,3
2023-10-15,3
2023-10-22,3
2023-10-29,3
2023-11-05,3
2023-11-12,7
2023-11-19,8
2023-11-26,6
2023-12-03,5
2023-12-10,5
2023-12-17,6
2023-12-24,11
2023-12-31,11
2024-01-07,7
2024-01-14,7
2024-01-21,6
2024-01-28,5
2024-02-04,5
2024-02-11,5
2024-02-18,4
2024-02-25,4
2024-03-03,3
2024-03-10,3
2024-03-17,3
2024-03-24,3
2024-03-31,3
2024-04-07,3
2024-04-14,3
2024-04-21,2
2024-04-28,2
2024-05-05,2
2024-05-12,2
2024-05-19,2
2024-05-26,3
2024-06-02,3
2024-06-09,3
2024-06-16,3
2024-06-23,3
2024-06-30,3
