Category: All categories

Week,Honkai: Star Rail: (Worldwide)
2023-01-01,<1
2023-01-08,<1
2023-01-15,1
2023-01-22,3
2023-01-29,2
2023-02-05,3
2023-02-12,6
2023-02-19,4
2023-02-26,2
2023-03-05,2
2023-03-12,2
2023-03-19,5
2023-03-26,5
2023-04-02,3
2023-04-09,4
2023-04-16,5
2023-04-23,81
2023-04-30,100
2023-05-07,73
2023-05-14,56
2023-05-21,50
2023-05-28,34
2023-06-04,34
2023-06-11,25
2023-06-18,21
2023-06-25,23
2023-07-02,22
2023-07-09,20
2023-07-16,30
2023-07-23,27
2023-07-30,22
2023-08-06,29
2023-08-13,28
2023-08-20,20
2023-08-27,28
2023-09-03,22
2023-09-10,19
2023-09-17,21
2023-09-24,20
2023-10-01,17
2023-10-08,27
2023-10-15,22
2023-10-22,20
2023-10-29,22
2023-11-05,15
2023-11-12,21
2023-11-19,16
2023-11-26,14
2023-12-03,19
2023-12-10,25
2023-12-17,19
2023-12-24,27
2023-12-31,23
2024-01-07,19
2024-01-14,20
2024-01-21,31
2024-01-28,24
2024-02-04,40
2024-02-11,32
2024-02-18,28
2024-02-25,34
2024-03-03,26
2024-03-10,30
2024-03-17,33
2024-03-24,47
2024-03-31,39
2024-04-07,29
2024-04-14,29
2024-04-21,35
2024-04-28,37
2024-05-05,60
2024-05-12,39
2024-05-19,28
2024-05-26,24
2024-06-02,28
2024-06-09,31
2024-06-16,42
2024-06-23,27
2024-06-30,19
