Category: All categories

Week,Honkai: Star Rail: (Worldwide)
2023-01-01,<1
2023-01-08,<1
2023-01-15,<1
2023-01-22,2
2023-01-29,1
2023-02-05,4
2023-02-12,5
2023-02-19,3
2023-02-26,2
2023-03-05,1
2023-03-12,1
2023-03-19,3
2023-03-26,4
2023-04-02,3
2023-04-09,3
2023-04-16,4
2023-04-23,100
2023-04-30,100
2023-05-07,61
2023-05-14,54
2023-05-21,46
2023-05-28,32
2023-06-04,37
2023-06-11,25
2023-06-18,21
2023-06-25,24
2023-07-02,23
2023-07-09,20
2023-07-16,31
2023-07-23,25
2023-07-30,21
2023-08-06,29
2023-08-13,27
2023-08-20,18
2023-08-27,27
2023-09-03,21
2023-09-10,17
2023-09-17,21
2023-09-24,19
2023-10-01,14
2023-10-08,26
2023-10-15,20
2023-10-22,19
2023-10-29,20
2023-11-05,13
2023-11-12,19
2023-11-19,14
2023-11-26,13
2023-12-03,18
2023-12-10,20
2023-12-17,16
2023-12-24,26
2023-12-31,21
2024-01-07,15
2024-01-14,17
2024-01-21,21
2024-01-28,17
2024-02-04,36
2024-02-11,26
2024-02-18,25
2024-02-25,26
2024-03-03,23
2024-03-10,23
2024-03-17,24
2024-03-24,44
2024-03-31,34
2024-04-07,28
2024-04-14,29
2024-04-21,31
2024-04-28,28
2024-05-05,47
2024-05-12,34
2024-05-19,26
2024-05-26,25
2024-06-02,25
2024-06-09,24
2024-06-16,37
2024-06-23,25
2024-06-30,19
