Category: All categories

Week,Honkai: Star Rail: (Worldwide)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,10
2023-04-02,0
2023-04-09,0
2023-04-16,9
2023-04-23,80
2023-04-30,100
2023-05-07,55
2023-05-14,46
2023-05-21,56
2023-05-28,30
2023-06-04,34
2023-06-11,22
2023-06-18,17
2023-06-25,25
2023-07-02,16
2023-07-09,15
2023-07-16,25
2023-07-23,18
2023-07-30,19
2023-08-06,22
2023-08-13,19
2023-08-20,22
2023-08-27,22
2023-09-03,28
2023-09-10,15
2023-09-17,16
2023-09-24,12
2023-10-01,9
2023-10-08,29
2023-10-15,18
2023-10-22,23
2023-10-29,26
2023-11-05,12
2023-11-12,12
2023-11-19,13
2023-11-26,12
2023-12-03,14
2023-12-10,34
2023-12-17,0
2023-12-24,24
2023-12-31,18
2024-01-07,16
2024-01-14,12
2024-01-21,19
2024-01-28,20
2024-02-04,30
2024-02-11,25
2024-02-18,25
2024-02-25,17
2024-03-03,13
2024-03-10,29
2024-03-17,21
2024-03-24,34
2024-03-31,27
2024-04-07,15
2024-04-14,19
2024-04-21,35
2024-04-28,24
2024-05-05,27
2024-05-12,14
2024-05-19,17
2024-05-26,17
2024-06-02,25
2024-06-09,17
2024-06-16,46
2024-06-23,24
2024-06-30,17
