Category: All categories

Week,Immortals of Aveum: (Worldwide)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,2
2023-04-30,1
2023-05-07,1
2023-05-14,1
2023-05-21,4
2023-05-28,4
2023-06-04,5
2023-06-11,4
2023-06-18,4
2023-06-25,3
2023-07-02,3
2023-07-09,3
2023-07-16,3
2023-07-23,4
2023-07-30,6
2023-08-06,7
2023-08-13,13
2023-08-20,100
2023-08-27,41
2023-09-03,16
2023-09-10,15
2023-09-17,9
2023-09-24,7
2023-10-01,8
2023-10-08,6
2023-10-15,5
2023-10-22,4
2023-10-29,4
2023-11-05,4
2023-11-12,7
2023-11-19,22
2023-11-26,18
2023-12-03,12
2023-12-10,9
2023-12-17,21
2023-12-24,13
2023-12-31,10
2024-01-07,7
2024-01-14,6
2024-01-21,5
2024-01-28,5
2024-02-04,4
2024-02-11,22
2024-02-18,8
2024-02-25,7
2024-03-03,6
2024-03-10,8
2024-03-17,4
2024-03-24,23
2024-03-31,35
2024-04-07,32
2024-04-14,23
2024-04-21,16
2024-04-28,15
2024-05-05,12
2024-05-12,24
2024-05-19,27
2024-05-26,19
2024-06-02,12
2024-06-09,11
2024-06-16,9
2024-06-23,7
2024-06-30,8
