Category: All categories

Week,Kirby's Return to Dream Land Deluxe: (Worldwide)
2023-01-01,33
2023-01-08,96
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,7
2023-02-19,32
2023-02-26,37
2023-03-05,15
2023-03-12,45
2023-03-19,20
2023-03-26,10
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,10
2023-07-09,0
2023-07-16,0
2023-07-23,0
2023-07-30,0
2023-08-06,0
2023-08-13,0
2023-08-20,0
2023-08-27,5
2023-09-03,0
2023-09-10,0
2023-09-17,0
2023-09-24,0
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,0
2023-11-12,0
2023-11-19,0
2023-11-26,0
2023-12-03,0
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,6
2024-02-04,0
2024-02-11,0
2024-02-18,0
2024-02-25,0
2024-03-03,0
2024-03-10,0
2024-03-17,0
2024-03-24,0
2024-03-31,0
2024-04-07,0
2024-04-14,0
2024-04-21,11
2024-04-28,17
2024-05-05,35
2024-05-12,52
2024-05-19,79
2024-05-26,82
2024-06-02,96
2024-06-09,100
2024-06-16,97
2024-06-23,91
2024-06-30,94
