Category: All categories

Week,Lies of P: (Worldwide)
2023-01-01,1
2023-01-08,1
2023-01-15,1
2023-01-22,1
2023-01-29,1
2023-02-05,<1
2023-02-12,1
2023-02-19,1
2023-02-26,1
2023-03-05,1
2023-03-12,<1
2023-03-19,1
2023-03-26,1
2023-04-02,<1
2023-04-09,<1
2023-04-16,<1
2023-04-23,<1
2023-04-30,<1
2023-05-07,1
2023-05-14,1
2023-05-21,1
2023-05-28,<1
2023-06-04,11
2023-06-11,13
2023-06-18,5
2023-06-25,3
2023-07-02,2
2023-07-09,2
2023-07-16,2
2023-07-23,1
2023-07-30,2
2023-08-06,2
2023-08-13,2
2023-08-20,3
2023-08-27,4
2023-09-03,5
2023-09-10,24
2023-09-17,100
2023-09-24,86
2023-10-01,61
2023-10-08,48
2023-10-15,35
2023-10-22,29
2023-10-29,24
2023-11-05,20
2023-11-12,22
2023-11-19,22
2023-11-26,19
2023-12-03,16
2023-12-10,14
2023-12-17,15
2023-12-24,20
2023-12-31,20
2024-01-07,17
