Category: All categories

Week,Lies of P: (Worldwide)
2023-01-01,1
2023-01-08,1
2023-01-15,1
2023-01-22,1
2023-01-29,1
2023-02-05,1
2023-02-12,1
2023-02-19,2
2023-02-26,1
2023-03-05,1
2023-03-12,1
2023-03-19,1
2023-03-26,1
2023-04-02,1
2023-04-09,1
2023-04-16,1
2023-04-23,1
2023-04-30,1
2023-05-07,1
2023-05-14,1
2023-05-21,1
2023-05-28,<1
2023-06-04,11
2023-06-11,16
2023-06-18,6
2023-06-25,4
2023-07-02,3
2023-07-09,2
2023-07-16,2
2023-07-23,2
2023-07-30,2
2023-08-06,2
2023-08-13,2
2023-08-20,3
2023-08-27,4
2023-09-03,6
2023-09-10,22
2023-09-17,100
2023-09-24,92
2023-10-01,69
2023-10-08,53
2023-10-15,44
2023-10-22,37
2023-10-29,31
2023-11-05,24
2023-11-12,24
2023-11-19,25
2023-11-26,21
2023-12-03,18
2023-12-10,16
2023-12-17,16
2023-12-24,19
2023-12-31,20
2024-01-07,18
