Category: All categories

Week,Metroid Prime Remastered: (Worldwide)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,9
2023-03-12,6
2023-03-19,0
2023-03-26,17
2023-04-02,89
2023-04-09,92
2023-04-16,76
2023-04-23,76
2023-04-30,66
2023-05-07,68
2023-05-14,55
2023-05-21,50
2023-05-28,53
2023-06-04,41
2023-06-11,36
2023-06-18,40
2023-06-25,41
2023-07-02,44
2023-07-09,48
2023-07-16,41
2023-07-23,36
2023-07-30,38
2023-08-06,42
2023-08-13,35
2023-08-20,31
2023-08-27,36
2023-09-03,33
2023-09-10,31
2023-09-17,31
2023-09-24,26
2023-10-01,28
2023-10-08,26
2023-10-15,29
2023-10-22,31
2023-10-29,30
2023-11-05,29
2023-11-12,35
2023-11-19,47
2023-11-26,39
2023-12-03,37
2023-12-10,32
2023-12-17,42
2023-12-24,60
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,0
2024-02-25,9
2024-03-03,25
2024-03-10,27
2024-03-17,29
2024-03-24,32
2024-03-31,24
2024-04-07,24
2024-04-14,24
2024-04-21,25
2024-04-28,28
2024-05-05,24
2024-05-12,29
2024-05-19,27
2024-05-26,32
2024-06-02,28
2024-06-09,26
2024-06-16,100
2024-06-23,86
2024-06-30,63
