Category: All categories

Week,Metroid Prime Remastered: (Worldwide)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,5
2023-03-12,3
2023-03-19,0
2023-03-26,12
2023-04-02,88
2023-04-09,84
2023-04-16,84
2023-04-23,82
2023-04-30,75
2023-05-07,64
2023-05-14,64
2023-05-21,53
2023-05-28,52
2023-06-04,51
2023-06-11,48
2023-06-18,55
2023-06-25,47
2023-07-02,47
2023-07-09,49
2023-07-16,47
2023-07-23,46
2023-07-30,47
2023-08-06,44
2023-08-13,43
2023-08-20,41
2023-08-27,40
2023-09-03,41
2023-09-10,42
2023-09-17,38
2023-09-24,30
2023-10-01,31
2023-10-08,35
2023-10-15,36
2023-10-22,34
2023-10-29,34
2023-11-05,31
2023-11-12,32
2023-11-19,49
2023-11-26,41
2023-12-03,34
2023-12-10,37
2023-12-17,43
2023-12-24,45
2023-12-31,0
2024-01-07,0
2024-01-14,0
2024-01-21,0
2024-01-28,0
2024-02-04,0
2024-02-11,0
2024-02-18,0
2024-02-25,10
2024-03-03,29
2024-03-10,33
2024-03-17,31
2024-03-24,32
2024-03-31,29
2024-04-07,23
2024-04-14,28
2024-04-21,30
2024-04-28,27
2024-05-05,29
2024-05-12,30
2024-05-19,28
2024-05-26,32
2024-06-02,28
2024-06-09,30
2024-06-16,100
2024-06-23,84
2024-06-30,60
