Category: All categories

Week,Minecraft Legends: (Worldwide)
2023-01-01,3
2023-01-08,3
2023-01-15,3
2023-01-22,10
2023-01-29,7
2023-02-05,5
2023-02-12,4
2023-02-19,4
2023-02-26,4
2023-03-05,5
2023-03-12,5
2023-03-19,4
2023-03-26,7
2023-04-02,14
2023-04-09,24
2023-04-16,100
2023-04-23,41
2023-04-30,23
2023-05-07,14
2023-05-14,11
2023-05-21,8
2023-05-28,8
2023-06-04,7
2023-06-11,7
2023-06-18,6
2023-06-25,6
2023-07-02,6
2023-07-09,6
2023-07-16,6
2023-07-23,5
2023-07-30,4
2023-08-06,6
2023-08-13,6
2023-08-20,6
2023-08-27,6
2023-09-03,5
2023-09-10,5
2023-09-17,5
2023-09-24,5
2023-10-01,6
2023-10-08,5
2023-10-15,6
2023-10-22,5
2023-10-29,6
2023-11-05,5
2023-11-12,6
2023-11-19,10
2023-11-26,9
2023-12-03,9
2023-12-10,8
2023-12-17,9
2023-12-24,12
2023-12-31,8
2024-01-07,6
2024-01-14,3
2024-01-21,3
2024-01-28,3
2024-02-04,3
2024-02-11,3
2024-02-18,3
2024-02-25,2
2024-03-03,2
2024-03-10,2
2024-03-17,2
2024-03-24,6
2024-03-31,10
2024-04-07,7
2024-04-14,5
2024-04-21,4
2024-04-28,4
2024-05-05,3
2024-05-12,4
2024-05-19,4
2024-05-26,4
2024-06-02,3
2024-06-09,3
2024-06-16,3
2024-06-23,3
2024-06-30,2
