Category: All categories

Week,Minecraft Legends: (Worldwide)
2023-01-01,3
2023-01-08,3
2023-01-15,5
2023-01-22,13
2023-01-29,11
2023-02-05,10
2023-02-12,10
2023-02-19,8
2023-02-26,8
2023-03-05,7
2023-03-12,7
2023-03-19,7
2023-03-26,8
2023-04-02,15
2023-04-09,26
2023-04-16,100
2023-04-23,54
2023-04-30,30
2023-05-07,21
2023-05-14,16
2023-05-21,11
2023-05-28,11
2023-06-04,9
2023-06-11,10
2023-06-18,8
2023-06-25,7
2023-07-02,7
2023-07-09,7
2023-07-16,8
2023-07-23,6
2023-07-30,6
2023-08-06,7
2023-08-13,7
2023-08-20,7
2023-08-27,7
2023-09-03,5
2023-09-10,5
2023-09-17,5
2023-09-24,6
2023-10-01,6
2023-10-08,7
2023-10-15,6
2023-10-22,6
2023-10-29,5
2023-11-05,4
2023-11-12,4
2023-11-19,5
2023-11-26,5
2023-12-03,5
2023-12-10,5
2023-12-17,6
2023-12-24,8
2023-12-31,6
2024-01-07,5
2024-01-14,4
2024-01-21,3
2024-01-28,3
2024-02-04,3
2024-02-11,3
2024-02-18,3
2024-02-25,2
2024-03-03,2
2024-03-10,3
2024-03-17,3
2024-03-24,5
2024-03-31,9
2024-04-07,7
2024-04-14,5
2024-04-21,4
2024-04-28,4
2024-05-05,3
2024-05-12,4
2024-05-19,4
2024-05-26,4
2024-06-02,4
2024-06-09,4
2024-06-16,4
2024-06-23,3
2024-06-30,3
