Category: All categories

Week,Mortal Kombat 1: (Worldwide)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,20
2023-07-23,30
2023-07-30,26
2023-08-06,44
2023-08-13,31
2023-08-20,35
2023-08-27,30
2023-09-03,56
2023-09-10,99
2023-09-17,100
2023-09-24,60
2023-10-01,41
2023-10-08,41
2023-10-15,28
2023-10-22,25
2023-10-29,23
2023-11-05,30
2023-11-12,26
2023-11-19,13
2023-11-26,18
2023-12-03,31
2023-12-10,27
2023-12-17,25
2023-12-24,24
2023-12-31,11
2024-01-07,10
2024-01-14,11
2024-01-21,0
2024-01-28,14
2024-02-04,13
2024-02-11,17
2024-02-18,17
2024-02-25,18
2024-03-03,15
2024-03-10,23
2024-03-17,0
2024-03-24,24
2024-03-31,19
2024-04-07,0
2024-04-14,18
2024-04-21,0
2024-04-28,13
2024-05-05,0
2024-05-12,0
2024-05-19,12
2024-05-26,12
2024-06-02,16
2024-06-09,17
2024-06-16,0
2024-06-23,16
2024-06-30,13
