Category: All categories

Week,Mortal Kombat 1: (Worldwide)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,3
2023-05-21,1
2023-05-28,1
2023-06-04,1
2023-06-11,1
2023-06-18,<1
2023-06-25,<1
2023-07-02,<1
2023-07-09,4
2023-07-16,15
2023-07-23,20
2023-07-30,15
2023-08-06,24
2023-08-13,17
2023-08-20,26
2023-08-27,21
2023-09-03,26
2023-09-10,81
2023-09-17,100
2023-09-24,58
2023-10-01,40
2023-10-08,36
2023-10-15,39
2023-10-22,26
2023-10-29,25
2023-11-05,33
2023-11-12,25
2023-11-19,19
2023-11-26,16
2023-12-03,19
2023-12-10,18
2023-12-17,15
2023-12-24,15
2023-12-31,13
2024-01-07,11
2024-01-14,11
2024-01-21,9
2024-01-28,9
2024-02-04,9
2024-02-11,8
2024-02-18,15
2024-02-25,17
2024-03-03,12
2024-03-10,9
2024-03-17,8
2024-03-24,8
2024-03-31,8
2024-04-07,12
2024-04-14,13
2024-04-21,11
2024-04-28,10
2024-05-05,17
2024-05-12,9
2024-05-19,8
2024-05-26,11
2024-06-02,15
2024-06-09,11
2024-06-16,9
2024-06-23,9
2024-06-30,8
