Category: All categories

Week,OCTOPATH TRAVELER II: (Worldwide)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,23
2023-03-05,27
2023-03-12,16
2023-03-19,16
2023-03-26,46
2023-04-02,100
2023-04-09,86
2023-04-16,73
2023-04-23,58
2023-04-30,63
2023-05-07,44
2023-05-14,37
2023-05-21,34
2023-05-28,28
2023-06-04,24
2023-06-11,28
2023-06-18,27
2023-06-25,30
2023-07-02,41
2023-07-09,43
2023-07-16,47
2023-07-23,35
2023-07-30,33
2023-08-06,38
2023-08-13,38
2023-08-20,31
2023-08-27,29
2023-09-03,27
2023-09-10,28
2023-09-17,30
2023-09-24,27
2023-10-01,24
2023-10-08,25
2023-10-15,22
2023-10-22,22
2023-10-29,21
2023-11-05,21
2023-11-12,23
2023-11-19,22
2023-11-26,21
2023-12-03,25
2023-12-10,29
2023-12-17,33
2023-12-24,44
2023-12-31,39
2024-01-07,29
