Category: All categories

Week,OCTOPATH TRAVELER II: (Worldwide)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,21
2023-03-05,24
2023-03-12,15
2023-03-19,19
2023-03-26,53
2023-04-02,100
2023-04-09,86
2023-04-16,73
2023-04-23,49
2023-04-30,53
2023-05-07,46
2023-05-14,34
2023-05-21,31
2023-05-28,30
2023-06-04,23
2023-06-11,30
2023-06-18,30
2023-06-25,33
2023-07-02,41
2023-07-09,44
2023-07-16,39
2023-07-23,33
2023-07-30,30
2023-08-06,35
2023-08-13,34
2023-08-20,30
2023-08-27,30
2023-09-03,28
2023-09-10,26
2023-09-17,31
2023-09-24,28
2023-10-01,24
2023-10-08,26
2023-10-15,20
2023-10-22,22
2023-10-29,21
2023-11-05,20
2023-11-12,23
2023-11-19,25
2023-11-26,22
2023-12-03,28
2023-12-10,31
2023-12-17,37
2023-12-24,43
2023-12-31,23
2024-01-07,35
