Category: All categories

Week,One Piece Odyssey: (Worldwide)
2023-01-01,16
2023-01-08,100
2023-01-15,78
2023-01-22,34
2023-01-29,21
2023-02-05,18
2023-02-12,15
2023-02-19,11
2023-02-26,9
2023-03-05,7
2023-03-12,8
2023-03-19,9
2023-03-26,7
2023-04-02,7
2023-04-09,6
2023-04-16,5
2023-04-23,6
2023-04-30,5
2023-05-07,5
2023-05-14,6
2023-05-21,6
2023-05-28,6
2023-06-04,5
2023-06-11,4
2023-06-18,5
2023-06-25,5
2023-07-02,5
2023-07-09,4
2023-07-16,4
2023-07-23,5
2023-07-30,5
2023-08-06,5
2023-08-13,4
2023-08-20,4
2023-08-27,6
2023-09-03,8
2023-09-10,8
2023-09-17,7
2023-09-24,6
2023-10-01,4
2023-10-08,4
2023-10-15,4
2023-10-22,4
2023-10-29,4
2023-11-05,3
2023-11-12,3
2023-11-19,4
2023-11-26,4
2023-12-03,3
2023-12-10,3
2023-12-17,4
2023-12-24,5
2023-12-31,4
2024-01-07,3
2024-01-14,3
2024-01-21,3
2024-01-28,3
2024-02-04,3
2024-02-11,3
2024-02-18,3
2024-02-25,3
2024-03-03,2
2024-03-10,2
2024-03-17,3
2024-03-24,3
2024-03-31,3
2024-04-07,2
2024-04-14,4
2024-04-21,3
2024-04-28,2
2024-05-05,3
2024-05-12,3
2024-05-19,3
2024-05-26,3
2024-06-02,2
2024-06-09,2
2024-06-16,2
2024-06-23,2
2024-06-30,3
