Category: All categories

Week,Payday 3: (Worldwide)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,<1
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,7
2023-06-18,6
2023-06-25,15
2023-07-02,9
2023-07-09,6
2023-07-16,6
2023-07-23,5
2023-07-30,18
2023-08-06,19
2023-08-13,10
2023-08-20,13
2023-08-27,13
2023-09-03,17
2023-09-10,23
2023-09-17,100
2023-09-24,54
2023-10-01,22
2023-10-08,18
2023-10-15,14
2023-10-22,15
2023-10-29,13
2023-11-05,14
2023-11-12,10
2023-11-19,13
2023-11-26,12
2023-12-03,10
2023-12-10,12
2023-12-17,9
2023-12-24,10
2023-12-31,9
2024-01-07,7
2024-01-14,6
2024-01-21,6
2024-01-28,7
2024-02-04,6
2024-02-11,5
2024-02-18,5
2024-02-25,5
2024-03-03,5
2024-03-10,6
2024-03-17,6
2024-03-24,5
2024-03-31,4
2024-04-07,4
2024-04-14,4
2024-04-21,4
2024-04-28,5
2024-05-05,4
2024-05-12,4
2024-05-19,4
2024-05-26,4
2024-06-02,5
2024-06-09,4
2024-06-16,5
2024-06-23,7
2024-06-30,8
