Category: All categories

Week,Payday 3: (Worldwide)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,3
2023-06-18,3
2023-06-25,7
2023-07-02,4
2023-07-09,3
2023-07-16,4
2023-07-23,4
2023-07-30,15
2023-08-06,11
2023-08-13,6
2023-08-20,8
2023-08-27,9
2023-09-03,22
2023-09-10,19
2023-09-17,100
2023-09-24,31
2023-10-01,11
2023-10-08,9
2023-10-15,8
2023-10-22,9
2023-10-29,8
2023-11-05,6
2023-11-12,6
2023-11-19,6
2023-11-26,6
2023-12-03,5
2023-12-10,6
2023-12-17,5
2023-12-24,7
2023-12-31,5
2024-01-07,4
2024-01-14,4
2024-01-21,3
2024-01-28,3
2024-02-04,3
2024-02-11,3
2024-02-18,3
2024-02-25,3
2024-03-03,3
2024-03-10,4
2024-03-17,3
2024-03-24,3
2024-03-31,2
2024-04-07,2
2024-04-14,3
2024-04-21,2
2024-04-28,3
2024-05-05,2
2024-05-12,2
2024-05-19,2
2024-05-26,3
2024-06-02,3
2024-06-09,3
2024-06-16,3
2024-06-23,5
2024-06-30,5
