Category: All categories

Week,Pikmin 4: (Worldwide)
2023-01-01,2
2023-01-08,1
2023-01-15,1
2023-01-22,1
2023-01-29,1
2023-02-05,9
2023-02-12,4
2023-02-19,3
2023-02-26,2
2023-03-05,2
2023-03-12,2
2023-03-19,2
2023-03-26,2
2023-04-02,2
2023-04-09,2
2023-04-16,2
2023-04-23,2
2023-04-30,2
2023-05-07,3
2023-05-14,3
2023-05-21,3
2023-05-28,3
2023-06-04,7
2023-06-11,5
2023-06-18,12
2023-06-25,29
2023-07-02,25
2023-07-09,30
2023-07-16,91
2023-07-23,100
2023-07-30,68
2023-08-06,55
2023-08-13,46
2023-08-20,33
2023-08-27,30
2023-09-03,26
2023-09-10,20
2023-09-17,19
2023-09-24,16
2023-10-01,14
2023-10-08,13
2023-10-15,12
2023-10-22,10
2023-10-29,10
2023-11-05,10
2023-11-12,11
2023-11-19,11
2023-11-26,10
2023-12-03,14
2023-12-10,12
2023-12-17,12
2023-12-24,16
2023-12-31,14
2024-01-07,10
