Category: All categories

Week,Pikmin 4: (Worldwide)
2023-01-01,2
2023-01-08,1
2023-01-15,1
2023-01-22,1
2023-01-29,1
2023-02-05,14
2023-02-12,7
2023-02-19,4
2023-02-26,3
2023-03-05,3
2023-03-12,3
2023-03-19,2
2023-03-26,2
2023-04-02,2
2023-04-09,2
2023-04-16,2
2023-04-23,2
2023-04-30,2
2023-05-07,3
2023-05-14,3
2023-05-21,2
2023-05-28,3
2023-06-04,9
2023-06-11,5
2023-06-18,13
2023-06-25,30
2023-07-02,28
2023-07-09,25
2023-07-16,75
2023-07-23,100
2023-07-30,84
2023-08-06,67
2023-08-13,59
2023-08-20,51
2023-08-27,46
2023-09-03,39
2023-09-10,36
2023-09-17,34
2023-09-24,29
2023-10-01,24
2023-10-08,23
2023-10-15,18
2023-10-22,16
2023-10-29,15
2023-11-05,14
2023-11-12,13
2023-11-19,14
2023-11-26,12
2023-12-03,15
2023-12-10,13
2023-12-17,11
2023-12-24,15
2023-12-31,14
2024-01-07,13
