Category: All categories

Week,Redfall: (Worldwide)
2023-01-01,2
2023-01-08,3
2023-01-15,1
2023-01-22,7
2023-01-29,5
2023-02-05,2
2023-02-12,2
2023-02-19,2
2023-02-26,1
2023-03-05,2
2023-03-12,3
2023-03-19,7
2023-03-26,4
2023-04-02,4
2023-04-09,7
2023-04-16,6
2023-04-23,13
2023-04-30,100
2023-05-07,24
2023-05-14,9
2023-05-21,7
2023-05-28,7
2023-06-04,4
2023-06-11,4
2023-06-18,3
2023-06-25,2
2023-07-02,2
2023-07-09,2
2023-07-16,2
2023-07-23,2
2023-07-30,2
2023-08-06,2
2023-08-13,2
2023-08-20,2
2023-08-27,2
2023-09-03,2
2023-09-10,1
2023-09-17,2
2023-09-24,1
2023-10-01,3
2023-10-08,3
2023-10-15,2
2023-10-22,1
2023-10-29,1
2023-11-05,1
2023-11-12,1
2023-11-19,1
2023-11-26,1
2023-12-03,2
2023-12-10,1
2023-12-17,2
2023-12-24,2
2023-12-31,2
2024-01-07,1
2024-01-14,1
2024-01-21,1
2024-01-28,1
2024-02-04,1
2024-02-11,1
2024-02-18,1
2024-02-25,1
2024-03-03,1
2024-03-10,1
2024-03-17,1
2024-03-24,1
2024-03-31,1
2024-04-07,1
2024-04-14,1
2024-04-21,1
2024-04-28,1
2024-05-05,5
2024-05-12,1
2024-05-19,1
2024-05-26,1
2024-06-02,1
2024-06-09,1
2024-06-16,1
2024-06-23,1
2024-06-30,1
