Category: All categories

Week,Resident Evil 4: (Worldwide)
2023-01-01,7
2023-01-08,12
2023-01-15,13
2023-01-22,14
2023-01-29,9
2023-02-05,9
2023-02-12,10
2023-02-19,11
2023-02-26,19
2023-03-05,46
2023-03-12,48
2023-03-19,85
2023-03-26,100
2023-04-02,50
2023-04-09,31
2023-04-16,22
2023-04-23,31
2023-04-30,16
2023-05-07,16
2023-05-14,13
2023-05-21,9
2023-05-28,9
2023-06-04,10
2023-06-11,9
2023-06-18,8
2023-06-25,0
2023-07-02,0
2023-07-09,0
2023-07-16,12
2023-07-23,11
2023-07-30,0
2023-08-06,0
2023-08-13,11
2023-08-20,9
2023-08-27,0
2023-09-03,0
2023-09-10,17
2023-09-17,27
2023-09-24,11
2023-10-01,0
2023-10-08,0
2023-10-15,0
2023-10-22,0
2023-10-29,0
2023-11-05,9
2023-11-12,0
2023-11-19,0
2023-11-26,9
2023-12-03,14
2023-12-10,0
2023-12-17,0
2023-12-24,0
2023-12-31,9
2024-01-07,0
