Category: All categories

Week,Resident Evil 4: (Worldwide)
2023-01-01,4
2023-01-08,4
2023-01-15,4
2023-01-22,4
2023-01-29,5
2023-02-05,5
2023-02-12,4
2023-02-19,6
2023-02-26,6
2023-03-05,15
2023-03-12,21
2023-03-19,53
2023-03-26,100
2023-04-02,63
2023-04-09,40
2023-04-16,28
2023-04-23,22
2023-04-30,17
2023-05-07,13
2023-05-14,14
2023-05-21,10
2023-05-28,9
2023-06-04,8
2023-06-11,8
2023-06-18,7
2023-06-25,7
2023-07-02,7
2023-07-09,7
2023-07-16,7
2023-07-23,6
2023-07-30,6
2023-08-06,6
2023-08-13,6
2023-08-20,5
2023-08-27,5
2023-09-03,5
2023-09-10,7
2023-09-17,14
2023-09-24,13
2023-10-01,9
2023-10-08,7
2023-10-15,6
2023-10-22,6
2023-10-29,7
2023-11-05,6
2023-11-12,6
2023-11-19,6
2023-11-26,7
2023-12-03,7
2023-12-10,7
2023-12-17,8
2023-12-24,10
2023-12-31,9
2024-01-07,7
