Category: All categories

Week,Resident Evil 4: (Worldwide)
2023-01-01,6
2023-01-08,6
2023-01-15,6
2023-01-22,7
2023-01-29,8
2023-02-05,7
2023-02-12,7
2023-02-19,8
2023-02-26,8
2023-03-05,14
2023-03-12,22
2023-03-19,49
2023-03-26,100
2023-04-02,64
2023-04-09,40
2023-04-16,33
2023-04-23,27
2023-04-30,23
2023-05-07,18
2023-05-14,15
2023-05-21,12
2023-05-28,11
2023-06-04,10
2023-06-11,10
2023-06-18,9
2023-06-25,8
2023-07-02,9
2023-07-09,9
2023-07-16,8
2023-07-23,9
2023-07-30,7
2023-08-06,7
2023-08-13,7
2023-08-20,7
2023-08-27,7
2023-09-03,7
2023-09-10,9
2023-09-17,16
2023-09-24,16
2023-10-01,11
2023-10-08,9
2023-10-15,8
2023-10-22,8
2023-10-29,9
2023-11-05,7
2023-11-12,7
2023-11-19,7
2023-11-26,7
2023-12-03,8
2023-12-10,9
2023-12-17,9
2023-12-24,10
2023-12-31,9
2024-01-07,9
