Category: All categories

Week,Star Wars Jedi: Survivor: (Worldwide)
2023-01-01,2
2023-01-08,2
2023-01-15,2
2023-01-22,3
2023-01-29,3
2023-02-05,4
2023-02-12,3
2023-02-19,3
2023-02-26,3
2023-03-05,4
2023-03-12,5
2023-03-19,7
2023-03-26,6
2023-04-02,10
2023-04-09,10
2023-04-16,13
2023-04-23,79
2023-04-30,100
2023-05-07,61
2023-05-14,37
2023-05-21,27
2023-05-28,22
2023-06-04,16
2023-06-11,13
2023-06-18,12
2023-06-25,10
2023-07-02,10
2023-07-09,9
2023-07-16,8
2023-07-23,7
2023-07-30,7
2023-08-06,7
2023-08-13,6
2023-08-20,6
2023-08-27,6
2023-09-03,7
2023-09-10,7
2023-09-17,6
2023-09-24,6
2023-10-01,6
2023-10-08,6
2023-10-15,6
2023-10-22,6
2023-10-29,5
2023-11-05,4
2023-11-12,5
2023-11-19,8
2023-11-26,7
2023-12-03,7
2023-12-10,7
2023-12-17,8
2023-12-24,12
2023-12-31,11
2024-01-07,8
