Category: All categories

Week,Star Wars Jedi: Survivor: (Worldwide)
2023-01-01,2
2023-01-08,2
2023-01-15,2
2023-01-22,2
2023-01-29,2
2023-02-05,5
2023-02-12,3
2023-02-19,3
2023-02-26,2
2023-03-05,2
2023-03-12,3
2023-03-19,8
2023-03-26,4
2023-04-02,8
2023-04-09,10
2023-04-16,8
2023-04-23,70
2023-04-30,100
2023-05-07,66
2023-05-14,41
2023-05-21,29
2023-05-28,22
2023-06-04,15
2023-06-11,12
2023-06-18,10
2023-06-25,9
2023-07-02,8
2023-07-09,7
2023-07-16,7
2023-07-23,6
2023-07-30,7
2023-08-06,6
2023-08-13,6
2023-08-20,5
2023-08-27,5
2023-09-03,7
2023-09-10,7
2023-09-17,6
2023-09-24,6
2023-10-01,5
2023-10-08,5
2023-10-15,5
2023-10-22,5
2023-10-29,5
2023-11-05,4
2023-11-12,4
2023-11-19,5
2023-11-26,5
2023-12-03,5
2023-12-10,5
2023-12-17,6
2023-12-24,9
2023-12-31,9
2024-01-07,7
