Category: All categories

Week,Starfield: (Worldwide)
2023-01-01,5
2023-01-08,6
2023-01-15,7
2023-01-22,5
2023-01-29,5
2023-02-05,6
2023-02-12,4
2023-02-19,3
2023-02-26,6
2023-03-05,5
2023-03-12,3
2023-03-19,3
2023-03-26,4
2023-04-02,3
2023-04-09,5
2023-04-16,4
2023-04-23,4
2023-04-30,5
2023-05-07,5
2023-05-14,5
2023-05-21,2
2023-05-28,4
2023-06-04,5
2023-06-11,22
2023-06-18,12
2023-06-25,8
2023-07-02,8
2023-07-09,10
2023-07-16,8
2023-07-23,10
2023-07-30,13
2023-08-06,13
2023-08-13,22
2023-08-20,31
2023-08-27,100
2023-09-03,100
2023-09-10,54
2023-09-17,33
2023-09-24,23
2023-10-01,15
2023-10-08,9
2023-10-15,9
2023-10-22,11
2023-10-29,7
2023-11-05,8
2023-11-12,8
2023-11-19,8
2023-11-26,7
2023-12-03,7
2023-12-10,8
2023-12-17,7
2023-12-24,7
2023-12-31,5
2024-01-07,7
