Category: All categories

Week,Starfield: (Worldwide)
2023-01-01,1
2023-01-08,1
2023-01-15,1
2023-01-22,1
2023-01-29,1
2023-02-05,1
2023-02-12,1
2023-02-19,1
2023-02-26,1
2023-03-05,1
2023-03-12,1
2023-03-19,1
2023-03-26,<1
2023-04-02,<1
2023-04-09,<1
2023-04-16,<1
2023-04-23,<1
2023-04-30,1
2023-05-07,1
2023-05-14,<1
2023-05-21,1
2023-05-28,1
2023-06-04,1
2023-06-11,11
2023-06-18,4
2023-06-25,3
2023-07-02,2
2023-07-09,2
2023-07-16,2
2023-07-23,2
2023-07-30,3
2023-08-06,4
2023-08-13,6
2023-08-20,11
2023-08-27,53
2023-09-03,100
2023-09-10,78
2023-09-17,52
2023-09-24,36
2023-10-01,25
2023-10-08,19
2023-10-15,14
2023-10-22,12
2023-10-29,9
2023-11-05,9
2023-11-12,7
2023-11-19,7
2023-11-26,6
2023-12-03,6
2023-12-10,5
2023-12-17,5
2023-12-24,5
2023-12-31,5
2024-01-07,4
