Category: All categories

Week,Starfield: (Worldwide)
2023-01-01,1
2023-01-08,1
2023-01-15,1
2023-01-22,1
2023-01-29,1
2023-02-05,1
2023-02-12,1
2023-02-19,1
2023-02-26,1
2023-03-05,3
2023-03-12,1
2023-03-19,1
2023-03-26,1
2023-04-02,1
2023-04-09,1
2023-04-16,1
2023-04-23,1
2023-04-30,1
2023-05-07,1
2023-05-14,1
2023-05-21,1
2023-05-28,1
2023-06-04,1
2023-06-11,22
2023-06-18,8
2023-06-25,5
2023-07-02,4
2023-07-09,3
2023-07-16,3
2023-07-23,4
2023-07-30,4
2023-08-06,5
2023-08-13,8
2023-08-20,18
2023-08-27,63
2023-09-03,100
2023-09-10,71
2023-09-17,42
2023-09-24,28
2023-10-01,20
2023-10-08,16
2023-10-15,12
2023-10-22,10
2023-10-29,8
2023-11-05,7
2023-11-12,7
2023-11-19,7
2023-11-26,6
2023-12-03,5
2023-12-10,5
2023-12-17,5
2023-12-24,5
2023-12-31,5
2024-01-07,4
