Category: All categories

Week,Street Fighter 6: (Worldwide)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,26
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,18
2023-02-26,0
2023-03-05,0
2023-03-12,28
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,20
2023-04-16,34
2023-04-23,24
2023-04-30,25
2023-05-07,21
2023-05-14,24
2023-05-21,41
2023-05-28,100
2023-06-04,93
2023-06-11,55
2023-06-18,44
2023-06-25,36
2023-07-02,45
2023-07-09,31
2023-07-16,25
2023-07-23,39
2023-07-30,26
2023-08-06,51
2023-08-13,33
2023-08-20,21
2023-08-27,21
2023-09-03,0
2023-09-10,24
2023-09-17,0
2023-09-24,22
2023-10-01,27
2023-10-08,21
2023-10-15,0
2023-10-22,0
2023-10-29,23
2023-11-05,26
2023-11-12,0
2023-11-19,23
2023-11-26,0
2023-12-03,19
2023-12-10,0
2023-12-17,23
2023-12-24,41
2023-12-31,28
2024-01-07,31
