Category: All categories

Week,Street Fighter 6: (Worldwide)
2023-01-01,3
2023-01-08,3
2023-01-15,3
2023-01-22,3
2023-01-29,4
2023-02-05,3
2023-02-12,3
2023-02-19,9
2023-02-26,6
2023-03-05,5
2023-03-12,4
2023-03-19,4
2023-03-26,4
2023-04-02,5
2023-04-09,5
2023-04-16,11
2023-04-23,14
2023-04-30,10
2023-05-07,9
2023-05-14,19
2023-05-21,21
2023-05-28,76
2023-06-04,100
2023-06-11,64
2023-06-18,44
2023-06-25,40
2023-07-02,39
2023-07-09,31
2023-07-16,24
2023-07-23,26
2023-07-30,26
2023-08-06,29
2023-08-13,19
2023-08-20,16
2023-08-27,15
2023-09-03,13
2023-09-10,12
2023-09-17,13
2023-09-24,16
2023-10-01,12
2023-10-08,10
2023-10-15,8
2023-10-22,8
2023-10-29,9
2023-11-05,9
2023-11-12,10
2023-11-19,14
2023-11-26,15
2023-12-03,13
2023-12-10,11
2023-12-17,12
2023-12-24,15
2023-12-31,14
2024-01-07,13
