Category: All categories

Week,Street Fighter 6: (Worldwide)
2023-01-01,5
2023-01-08,5
2023-01-15,5
2023-01-22,7
2023-01-29,6
2023-02-05,5
2023-02-12,5
2023-02-19,14
2023-02-26,12
2023-03-05,12
2023-03-12,10
2023-03-19,9
2023-03-26,8
2023-04-02,7
2023-04-09,6
2023-04-16,15
2023-04-23,17
2023-04-30,19
2023-05-07,14
2023-05-14,20
2023-05-21,23
2023-05-28,71
2023-06-04,100
2023-06-11,60
2023-06-18,48
2023-06-25,43
2023-07-02,41
2023-07-09,31
2023-07-16,27
2023-07-23,28
2023-07-30,27
2023-08-06,30
2023-08-13,22
2023-08-20,18
2023-08-27,19
2023-09-03,16
2023-09-10,15
2023-09-17,15
2023-09-24,18
2023-10-01,15
2023-10-08,14
2023-10-15,12
2023-10-22,12
2023-10-29,13
2023-11-05,12
2023-11-12,12
2023-11-19,18
2023-11-26,16
2023-12-03,16
2023-12-10,14
2023-12-17,13
2023-12-24,15
2023-12-31,14
2024-01-07,15
