Category: All categories

Week,Super Mario Bros. Wonder: (Worldwide)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,2
2023-07-02,3
2023-07-09,3
2023-07-16,3
2023-07-23,3
2023-07-30,4
2023-08-06,3
2023-08-13,3
2023-08-20,5
2023-08-27,16
2023-09-03,12
2023-09-10,7
2023-09-17,7
2023-09-24,8
2023-10-01,13
2023-10-08,25
2023-10-15,100
2023-10-22,99
2023-10-29,58
2023-11-05,43
2023-11-12,40
2023-11-19,42
2023-11-26,32
2023-12-03,27
2023-12-10,28
2023-12-17,29
2023-12-24,43
2023-12-31,35
2024-01-07,22
