Category: All categories

Week,Super Mario Bros. Wonder: (Worldwide)
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,0
2023-03-05,0
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,0
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,2
2023-07-02,5
2023-07-09,5
2023-07-16,4
2023-07-23,4
2023-07-30,4
2023-08-06,4
2023-08-13,4
2023-08-20,6
2023-08-27,30
2023-09-03,20
2023-09-10,8
2023-09-17,7
2023-09-24,7
2023-10-01,9
2023-10-08,18
2023-10-15,84
2023-10-22,100
2023-10-29,62
2023-11-05,45
2023-11-12,38
2023-11-19,34
2023-11-26,26
2023-12-03,22
2023-12-10,21
2023-12-17,22
2023-12-24,35
2023-12-31,29
2024-01-07,23
