Category: All categories

Week,System Shock: (Worldwide)
2023-01-01,4
2023-01-08,2
2023-01-15,2
2023-01-22,2
2023-01-29,2
2023-02-05,4
2023-02-12,6
2023-02-19,3
2023-02-26,5
2023-03-05,5
2023-03-12,6
2023-03-19,3
2023-03-26,2
2023-04-02,1
2023-04-09,2
2023-04-16,1
2023-04-23,2
2023-04-30,2
2023-05-07,3
2023-05-14,3
2023-05-21,9
2023-05-28,100
2023-06-04,42
2023-06-11,19
2023-06-18,13
2023-06-25,10
2023-07-02,8
2023-07-09,7
2023-07-16,6
2023-07-23,4
2023-07-30,4
2023-08-06,5
2023-08-13,3
2023-08-20,3
2023-08-27,3
2023-09-03,3
2023-09-10,3
2023-09-17,2
2023-09-24,3
2023-10-01,2
2023-10-08,2
2023-10-15,3
2023-10-22,2
2023-10-29,2
2023-11-05,2
2023-11-12,2
2023-11-19,2
2023-11-26,3
2023-12-03,2
2023-12-10,2
2023-12-17,3
2023-12-24,3
2023-12-31,3
2024-01-07,2
2024-01-14,3
2024-01-21,2
2024-01-28,3
2024-02-04,3
2024-02-11,2
2024-02-18,2
2024-02-25,2
2024-03-03,2
2024-03-10,4
2024-03-17,3
2024-03-24,3
2024-03-31,3
2024-04-07,6
2024-04-14,7
2024-04-21,5
2024-04-28,4
2024-05-05,3
2024-05-12,5
2024-05-19,17
2024-05-26,11
2024-06-02,7
2024-06-09,6
2024-06-16,5
2024-06-23,3
2024-06-30,6
