Category: All categories

Week,The Legend of Zelda: Tears of the Kingdom: (Worldwide)
2023-01-01,7
2023-01-08,4
2023-01-15,6
2023-01-22,6
2023-01-29,7
2023-02-05,17
2023-02-12,10
2023-02-19,12
2023-02-26,10
2023-03-05,9
2023-03-12,8
2023-03-19,11
2023-03-26,16
2023-04-02,12
2023-04-09,20
2023-04-16,16
2023-04-23,24
2023-04-30,47
2023-05-07,100
2023-05-14,92
2023-05-21,63
2023-05-28,41
2023-06-04,39
2023-06-11,31
2023-06-18,29
2023-06-25,23
2023-07-02,21
2023-07-09,21
2023-07-16,16
2023-07-23,13
2023-07-30,13
2023-08-06,10
2023-08-13,10
2023-08-20,10
2023-08-27,8
2023-09-03,7
2023-09-10,6
2023-09-17,6
2023-09-24,6
2023-10-01,6
2023-10-08,4
2023-10-15,5
2023-10-22,6
2023-10-29,6
2023-11-05,6
2023-11-12,6
2023-11-19,5
2023-11-26,4
2023-12-03,7
2023-12-10,3
2023-12-17,6
2023-12-24,6
2023-12-31,6
2024-01-07,3
