Category: All categories

Week,The Legend of Zelda: Tears of the Kingdom: (Worldwide)
2023-01-01,1
2023-01-08,1
2023-01-15,1
2023-01-22,1
2023-01-29,1
2023-02-05,7
2023-02-12,3
2023-02-19,3
2023-02-26,2
2023-03-05,2
2023-03-12,2
2023-03-19,2
2023-03-26,5
2023-04-02,3
2023-04-09,6
2023-04-16,6
2023-04-23,7
2023-04-30,14
2023-05-07,48
2023-05-14,100
2023-05-21,70
2023-05-28,63
2023-06-04,57
2023-06-11,52
2023-06-18,45
2023-06-25,37
2023-07-02,35
2023-07-09,30
2023-07-16,23
2023-07-23,20
2023-07-30,17
2023-08-06,17
2023-08-13,16
2023-08-20,13
2023-08-27,13
2023-09-03,12
2023-09-10,10
2023-09-17,8
2023-09-24,8
2023-10-01,7
2023-10-08,7
2023-10-15,7
2023-10-22,7
2023-10-29,7
2023-11-05,6
2023-11-12,6
2023-11-19,7
2023-11-26,6
2023-12-03,6
2023-12-10,7
2023-12-17,7
2023-12-24,10
2023-12-31,10
2024-01-07,8
