Category: All categories

Week,The Legend of Zelda: Tears of the Kingdom: (Worldwide)
2023-01-01,1
2023-01-08,1
2023-01-15,1
2023-01-22,1
2023-01-29,1
2023-02-05,10
2023-02-12,4
2023-02-19,3
2023-02-26,2
2023-03-05,2
2023-03-12,2
2023-03-19,2
2023-03-26,12
2023-04-02,4
2023-04-09,19
2023-04-16,12
2023-04-23,11
2023-04-30,19
2023-05-07,55
2023-05-14,100
2023-05-21,82
2023-05-28,69
2023-06-04,59
2023-06-11,47
2023-06-18,42
2023-06-25,37
2023-07-02,34
2023-07-09,27
2023-07-16,23
2023-07-23,22
2023-07-30,20
2023-08-06,18
2023-08-13,17
2023-08-20,15
2023-08-27,15
2023-09-03,13
2023-09-10,12
2023-09-17,10
2023-09-24,10
2023-10-01,10
2023-10-08,9
2023-10-15,8
2023-10-22,9
2023-10-29,8
2023-11-05,8
2023-11-12,8
2023-11-19,9
2023-11-26,8
2023-12-03,8
2023-12-10,9
2023-12-17,9
2023-12-24,11
2023-12-31,11
2024-01-07,10
