Category: All categories

Week,Wild Hearts: (Worldwide)
2023-01-01,2
2023-01-08,3
2023-01-15,3
2023-01-22,6
2023-01-29,9
2023-02-05,11
2023-02-12,99
2023-02-19,100
2023-02-26,50
2023-03-05,33
2023-03-12,23
2023-03-19,18
2023-03-26,19
2023-04-02,17
2023-04-09,16
2023-04-16,11
2023-04-23,8
2023-04-30,7
2023-05-07,5
2023-05-14,5
2023-05-21,4
2023-05-28,4
2023-06-04,3
2023-06-11,3
2023-06-18,3
2023-06-25,3
2023-07-02,3
2023-07-09,3
2023-07-16,3
2023-07-23,3
2023-07-30,3
2023-08-06,3
2023-08-13,3
2023-08-20,2
2023-08-27,2
2023-09-03,2
2023-09-10,3
2023-09-17,3
2023-09-24,2
2023-10-01,2
2023-10-08,2
2023-10-15,2
2023-10-22,2
2023-10-29,3
2023-11-05,6
2023-11-12,10
2023-11-19,9
2023-11-26,7
2023-12-03,5
2023-12-10,4
2023-12-17,4
2023-12-24,5
2023-12-31,5
2024-01-07,4
2024-01-14,4
2024-01-21,3
2024-01-28,2
2024-02-04,2
2024-02-11,3
2024-02-18,2
2024-02-25,2
2024-03-03,2
2024-03-10,2
2024-03-17,2
2024-03-24,2
2024-03-31,2
2024-04-07,2
2024-04-14,2
2024-04-21,1
2024-04-28,2
2024-05-05,2
2024-05-12,2
2024-05-19,2
2024-05-26,2
2024-06-02,2
2024-06-09,2
2024-06-16,2
2024-06-23,2
2024-06-30,2
