Category: All categories

Week,Wild Hearts: (Worldwide)
2023-01-01,3
2023-01-08,3
2023-01-15,4
2023-01-22,7
2023-01-29,11
2023-02-05,15
2023-02-12,100
2023-02-19,81
2023-02-26,43
2023-03-05,28
2023-03-12,23
2023-03-19,17
2023-03-26,22
2023-04-02,20
2023-04-09,17
2023-04-16,14
2023-04-23,9
2023-04-30,7
2023-05-07,6
2023-05-14,7
2023-05-21,5
2023-05-28,4
2023-06-04,4
2023-06-11,4
2023-06-18,4
2023-06-25,4
2023-07-02,4
2023-07-09,4
2023-07-16,4
2023-07-23,3
2023-07-30,3
2023-08-06,3
2023-08-13,3
2023-08-20,3
2023-08-27,3
2023-09-03,3
2023-09-10,3
2023-09-17,3
2023-09-24,3
2023-10-01,2
2023-10-08,2
2023-10-15,2
2023-10-22,2
2023-10-29,3
2023-11-05,9
2023-11-12,13
2023-11-19,9
2023-11-26,6
2023-12-03,7
2023-12-10,5
2023-12-17,5
2023-12-24,5
2023-12-31,5
2024-01-07,5
2024-01-14,4
2024-01-21,3
2024-01-28,3
2024-02-04,3
2024-02-11,3
2024-02-18,3
2024-02-25,3
2024-03-03,2
2024-03-10,3
2024-03-17,2
2024-03-24,2
2024-03-31,2
2024-04-07,2
2024-04-14,2
2024-04-21,2
2024-04-28,2
2024-05-05,2
2024-05-12,2
2024-05-19,2
2024-05-26,2
2024-06-02,2
2024-06-09,2
2024-06-16,2
2024-06-23,2
2024-06-30,2
